url,url_alt,date,short,tease,tease_flag,hed,dek,hed_flag,dek_flag,author,bgColor,fgColor,color_override,keyword,hide_all,hide_footer,filters,faves,home_text,home_pick,collection,last_checked,needs_fixing,fix_note
2017/07/comics,,07/18/2017,gender in comics,"Female characters are largely absent from superhero comics — but when they are included, how are they depicted?",111,"Gender Representation of 34,476 Comic Book Characters",How are female characters in superhero comics depicted?,53,55,amanda,,,,"gender, equality, comic, book, men, women, representation, diversity",,,,,gender in comics,matt,"gender,books",9/25/2024,,
2017/07/eating-alone,,07/28/2017,eating alone,"I’m dining solo, I’m dining solo, solo (Jason Derulo voice). We looked at the dining habits and companions of Americans.",120,The Dining Habits and Companions of Americans,The frequency of dining alone,45,29,"henrik, amber",,,,"america, food, eating alone, united states, dine, dining, restaurant",,,,,,,food,9/25/2024,,
2017/08/the-office,,08/04/2017,the office dialogue,"We measured the dialogue from every episode of The Office and it sure is a mouthful. (“That’s what she said."")",110,‘The Office’ Dialogue in Five Charts,A breakdown of how every character contributed to the show,36,58,caitlyn,,,,"television, language, the office, tv, dialogue",,,,,,,television,9/25/2024,,
2017/08/screen-direction,,08/22/2017,film gender tropes,"Men ""gallop"" and women ""giggle,"" at least according to the gendered tropes found in 2,000 scripts. ",99,"She Giggles, He Gallops","Analyzing gender tropes in film with screen direction from 2,000 scripts",23,72,"julia, russell, amber, hanah",,,,"gender, equality, movie, language, film, men, women, representation, diversity, trope, script",,,,,,,"gender,movies",9/25/2024,,
2017/09/clinics,,09/07/2017,abortion driving time,"In 2017, we mapped the cities and places with the worst access to abortion based on driving times.",98,An Analysis of Driving Times to Abortion Clinics in the US,Mapping the cities and places with the worst access,58,51,"russell, amber, caitlyn",,,,"reproductive health, health, america, geography, abortion, map, pregnant, pregnancy, roe, women, drive, driving, united states, distance, clinic",,,,,abortion access,caitlyn,health,9/25/2024,,
2017/09/this-american-life,,09/21/2017,gender on radio,"If you exclude Ira Glass’ voice, who gets the most airtime on This American Life: men or women? Stay tuned to hear more.",120,Listen to Her: Gender on This American Life,The story behind the gender divide on This American Life,43,56,ash,,,,"gender, equality, radio, media, this american life, npr, men, women, representation, diversity",,,,,This American Life,,gender,9/25/2024,TRUE,audio button
2017/09/hip-hop-words,,09/22/2017,most hip-hop words,"In a musial language that’s gone worldwide, we uncover the words that are ""most hip-hop"" ",89,The Words That Are “Most Hip Hop”,Using math to rank words that are central to artists’ vocabularies,33,66,"matt, thedataface",,,,"hip hop, music, language, rap, lyric, word",,,,,,,music-hiphop,9/25/2024,,
2017/10/asne,,10/12/2017,news racial diversity,What is black and white and red all over? The racial gap between a newspaper’s staff and the community it covers.,113,Newspapers: A Black & White Issue,Measuring racial diversity in journalism,33,40,"matt, amber",,,,"news, media, equality, diversity, newspaper, gender, race",,,,,,,"media,race",9/25/2024,TRUE,embeds
2017/10/superteams,,10/12/2017,nba superteams,How would you define an NBA superteam? We couldn’t decide so we built this tool to give you the power.,102,What is a Superteam in the NBA?,Defining what a superteam is with data,31,38,"russell, matt",,,,"nba, basketball, sports, superteam",,,,,,,basketball-players,9/25/2024,,
2017/10/satellites,,10/18/2017,history of satellites,A visual walkthrough of how we see Earth from space through the eyes of satellites. Spoiler alert: it’s still not flat. ,120,Seeing Earth from Outer Space,A visual history of satellites,29,30,conlen,,,,"space, history, solar system, earth",,TRUE,,,,,science,9/25/2024,,
2017/12/hater,,12/04/2017,things everyone hates,"We can all agree that drain hair is gross. But it’s a thin line between love and hate for more than 3,000 other topics. ",120,10 Things Everyone Hates About You,"Exploring over 30 million feelings towards 3,000+ topics",34,56,"russell, amber",,,,"relationships, hate, love, like, dislike, hater",,,,,,,language,9/25/2024,,
2018/01/chyrons,,01/25/2018,how news is framed,"There are three sides to every cable news story: MSNBC’s, Fox News’, and CNN’s. The contrast in on-screen text is stark.",120,"How CNN, MSNBC, and FOX Cover the News",The story you get depends on the channel you watch,38,50,charlie,,,,"news, media, politics, language, chyron, cnn, fox, msnbs, word",,,,,news coverage,kevin,politics,9/25/2024,,
2018/01/mars-weather,,01/31/2018,greetings from mars,"Via postcards from the Curiosity Rover on Mars, we prove that talking about the weather is a universal habit.",109,Greetings from Mars,Exploring today’s weather on Mars and in your area with the Curiosity Rover,19,75,amber,,,,"space, weather, mars, solar system, greeting, postcard",TRUE,,,,,,science,9/25/2024,TRUE,removed - no longer updating
2018/02/restaurants,,02/06/2018,gastronomic borders,What is the taco capital of the US? Where does BBQ reign supreme? These maps have you covered.,94,Mapping Gastronomic Borders in the US,How US culture dictates geographic restaurant patterns,37,54,matt,,,,"america, food, geography, map, united states, border",,,,,,,food,9/25/2024,,
2018/02/death,,02/13/2018,death's limbo lines,We mapped which countries have laws and guidelines around declaring brain death.,80,"Limbo Lines: Dead Here, Alive There",Brain death’s role in the uncertainties of death,35,48,beatrice,,,,"america, geography, health, science, united states, limbo, death, dead, alive, life, live",,,,,,,science,9/25/2024,,
2018/02/waveforms,,02/16/2018,learn about waveforms,Here’s an interactive guide that introduces and explores waveforms. Volume most defintiely on.,94,Let’s Learn About Waveforms,An interactive guide that introduces and explores waveforms,27,59,josh,,,,"science, explainer, waveforms, sound, wave, hear",,,,,,,science,9/25/2024,,
2018/02/stand-up,,02/26/2018,structure of stand-up,We watched Ali Wong’s Baby Cobra too many times and charted out how she built the routine around a laughter climax.,115,The Structure of Stand-Up Comedy,The genius of Ali Wong’s Netflix special,32,40,"russell, matt",,,,"comedy, ali wong, stand-up, language, laugh, climax, comedian, routine, structure",,,"audio, popular",matt,Ali Wong,popular,comedy,9/25/2024,,
2018/03/neighborhoods,,03/21/2018,neighborhood places,"In a love letter to NYC and Seattle, we pinpoint the types of businesses that distinguish one neighborhood from another.",120,A Tale of Two Cities,Using data to write love letters to the cities we call home,20,59,"amber, ilia",,,,"geography, neighborhoods, map, cities, new york, nyc, seattle",,,,,,,maps,9/25/2024,,
2018/04/birthday-paradox,,04/09/2018,birthday paradox,Your birthday twin is probably reading this right now. We take on the birthday paradox.,87,The Birthday Paradox Experiment,Your birthday twin is probably reading this right now. Because math.,31,68,russell,,,,"science, explainer, birthday, paradox, experiment",,,"your_input, popular",,the birthday paradox,popular,"experiment,user-input",9/25/2024,,
2018/04/one-hit-wonders,,04/30/2018,sports one-hit wonders,Which athletes qualify as one-hit wonders? We charted the greatest single-season anomalies in the last 30 years.,112,One-Hit Wonders in Sports,The greatest single-season anomalies in the last 30 years,25,57,"russell, jan",,,,"sports, basketball, one-hit, wonder, golf, baseball, tennis",,,,,,,sports-all,9/25/2024,,
2018/05/cookies,,05/10/2018,the average cookie,We baked the most average chocolate chip cookie. Recipes written by computers — what could go wrong?,100,Baking the Most Average Chocolate Chip Cookie,Cookie recipes written by computers — what could go wrong?,45,58,"elle, amber",,,,"science, food, explainer, cookie, chocolate, chip, recipe, predictive text, algorithm, neutral network, average, experiment, video, bake, baking, cook, cooking",,,,,,,food,9/25/2024,,
2018/05/similarity,,05/24/2018,song diversity,"Think you’ve heard that before? Turns out, hit songs are becoming less musically diverse.",89,Are Hit Songs Becoming Less Musically Diverse?,Today’s hit artists are take fewer risks and create a narrower range of sounds,46,78,"matt,andrew",,,,"music, pop, diversity, song, hit, diverse, sound",,,,,music similarity,matt,music-pop,9/25/2024,,
2018/05/nba-top-plays,,05/31/2018,most-viewed nba play,A supercut of the most-viewed NBA plays from 2017–18. Warning: this video contains a high dosage of LeBron footage.,115,The Most-Viewed NBA Plays in 2017-18,Warning: this video contains a high dosage of LeBron footage.,36,61,russell,,,,"basketball, nba, sports, play, view, video, 2017, 2018, reddit",,,video,,,,basketball-players,9/25/2024,,
2018/06/skate-music,,06/05/2018,skateboarding music,"The good, the rad, and the gnarly. We took a look at what makes a skate soundtrack.",83,"The Good, the Rad, and the Gnarly",An exploration into the music of skateboarding,33,46,jared,,,,"music, skate, genre, skateboard, rad, gnarly",,,,,,,music-punk,9/25/2024,,
2018/06/makeup-shades,,06/13/2018,makeup shade colors,"Fenty is a champion for makeup inclusivity, but how do other brands compare? We charted their foundation skin tones.",116,The Diversity of Makeup Shades,Fenty Beauty is a champion for makeup inclusivity. How do other brands compare?,30,79,"jason, amber, divya",,,,"diversity, equality, makeup, shade, color, beauty, skin, representation",,,,,,,"beauty,race",9/25/2024,,
2018/06/gayborhoods,,06/28/2018,gayborhoods,"We mapped how ""gayborhoods"" are divided by gender. It’s true: men are from Chelsea, women are from Park Slope.",110,"Men are from Chelsea, Women are from Park Slope",How “gayborhoods” in 15 major American cities are divided by gender,47,67,jan,,,,"lgbtq, neighborhood, queer, map, gender, gayborhood, men, women, city, cities",,,,,gayborhoods,"jan, michelle, caitlyn","gender,queer",9/25/2024,,
2018/07/women-in-congress,,07/10/2018,women in congress,"We looked at 500,000 congressional speeches to show how gender representation changes the conversation.",103,The Road to Gender Parity in the House of Representatives,Exploring 100 years of women in politics through data and machine learning,57,74,durand,,,,"gender, equality, politics, america, language, united states, congress, house of representatives, senate, representation",,,,,,,"gender,politics",9/25/2024,,
2018/07/women-in-parliament,,07/10/2018,women in parliament,We looked at 1.2 million parliamentary speeches to show how gender representation changes the conversation.,107,Gender Representation in Parliamentary Speeches  ,Exploring 100 years of women in parliament through data and machine learning,49,76,durand,,,,"gender, equality, politics, parliament, language, united kingdom, speech, house of commons, representation",,TRUE,,,,,"gender,politics",9/25/2024,,
2018/07/birth_control,,07/17/2018,birth control,"No TMI here, just 20,759 people describing their experiences with contraception... and us charting it.",102,Let’s Talk About Birth Control,"No TMI here, just 20,759 people describing their experiences with contraception.",30,80,amber,,,,"reproductive health, health, birth control, pregnant, pregnancy, women, cdc",,,,,,,"gender,health",9/25/2024,,
2018/07/airports,,07/24/2018,megacity airport traffic,"Instead of measuring a city by it’s GDP or population, what if we measure it by its airport traffic?",100,What Airport Traffic Tells Us About the World’s Megacities,"Kinshasa, DR Congo, a city of 13 million has 13 departing flights per day.",58,74,matt,,,,"geography, airport, flight, city, cities, plane, airport, travel, world, map",,,,,,,maps,9/25/2024,,
2018/08/retraining,,08/02/2018,job retraining,The job automation crisis isn’t as simple as turning truck driver’s into developers. We break it down with data.,112,Tech Jobs may not Solve America’s Looming Automation Crisis,Tech retraining programs are becoming more popular. They may not be a solution.,59,79,"jordan, ilia",,,,"jobs, automation, america, economy, tech, robot, economic, united states",,,,,,,economy,9/25/2024,,
2018/08/wiki-death,,08/05/2018,death on wikipedia,What Wikipedia pageviews tell us about how famous people are remembered after they die. RIP.,92,Life After Death on Wikipedia,What pageviews tell us about how famous people are remembered after they die,29,76,russell,,,,"wiki, death, celebrities, dead, celebrity",,,,,death and Wikipedia,caitlyn,celebrities,9/25/2024,,
2018/08/pockets,,08/15/2018,women's pockets,We went there. A data investigation into the travesty that is women’s pockets.,78,Women’s Pockets are Inferior,You already know this. But now we’ve got the data to show it.,28,61,"jan, amber",,,,"gender, equality, fashion, pocket, jean, women, size, jeans, pockets",,,popular,jan,women’s pockets,"popular, jan","gender,fashion",9/25/2024,,
2018/08/filmordigital,,08/22/2018,film or digital,Let’s get reel: who’s using film and who’s using digital in the movie industry?,79,Film or Digital?,Breaking down Hollywood’s choice of shooting medium,16,51,damar,,,,"movie, film, digital, tech, video",,,,,,,movies,9/25/2024,,
2018/08/emo-rap,,08/30/2018,most emo rap lyrics,"Who has more emotionally vulnerable lyrics, emo-rap or Dashboard Confessional? We measured each album’s sentiment.",114,The Most Emo Lyrics: Emo Rap vs. Dashboard Confessional,"Who has more emotionally vulnerable lyrics, emo-rap or Dashboard Confessional?",55,78,matt,,,,"music, emo, hip hop, lyric, rap",,,,,,,"music-punk,music-hiphop",9/25/2024,,
2018/09/wiki-billboard,,09/11/2018,celebrity billboard,Here’s who was the most popular person on Wikipedia ever day in 2018.,69,The Celebrity Billboard Project,Tracking the popularity of cultural figures in 2018,31,51,"russell, ilia, caitlyn",,,,"wiki, celebrity, celebrities, billboard, popular",,,,,,,celebrities,9/25/2024,,
2018/09/jordans,,09/26/2018,morphing air jordans,Watch as the design of the iconic Air Jordan morphs from its the first release in 1985 to the present.,102,A Visual History of Every Air Jordan,Watch as the design of the iconic Air Jordan morphs over the last 33 editions.,36,78,jan,,,,"fashion, air jordan, shoe, basketball, michael jordan, sneaker, kick, jordan, brand, morph, svg",,,"updating,popular",jan,morphing Air Jordans,jan,"basketball,fashion,sports-all",9/25/2024,,
2018/10/wiki-breakout,,10/19/2018,path to fame,From Cardi B to Carson Wentz: we charted the path to fame from Wikipedia pageviews.,83,What Does the Path to Fame Look Like?,Tracking the rise in popularity from Cardi B to Carson Wentz,37,60,"russell, caitlyn",,,,"wiki, celebrity, celebrities, fame, path",,,audio,,,,celebrities,9/25/2024,TRUE,audio is janky
2018/10/city_3d,,10/25/2018,human terrain,We charted new terrain in these 3D maps of human population.,60,Human Terrain: Population in 3D,Visualizing the World’s Population as a Terrain,31,47,matt,,,,"geography, population, world, map, human, terrain, 3d, data mountains, population mountains",,,popular,alvin,world population,popular,maps,9/25/2024,,
2018/11/titletowns,,11/07/2018,winningest sports city,"Welcome to Titletown! Discover the most successful cities across baseball, basketball, football, hockey, and soccer.",116,The Winningest Cities in North American Sports,What makes a titletown in sports?,46,33,sam,,,,"sports, geography, football, basketball, baseball, hockey, soccer, titletown, win, champ, champion, title, city, cities, north america, america, canada, united states",,,,,,,sports-all,9/25/2024,,
2018/11/dearabby,,11/13/2018,american anxieties,"Dear Abby, I’m looking for an analysis of 20,000 advice column letters. Sincerely, Curious. Hi Curious, click this link.",120,30 Years of American Anxieties,"What 20,000 letters to an advice columnist tell us about what concerns us most.",30,79,"ilia,caitlyn",,,,"relationships, anxieties, anxiety, dear abby, letter, language, ibm",,,,,Dear Abby,ilia,language,9/25/2024,,
2018/11/boy-bands,,11/27/2018,boy band database,"Because you just can’t get enough of them, we found every boy band to chart the Hot 100 since 1980.",99,Internet Boy Band Database,Every boy band to chart the Hot 100 since 1980,26,46,"russell, amber, malik",,,,"music, pop, boy band, nsync, backstreet boys, bts, song, hit",,,audio,,all the boy bands,russell,music-pop,9/25/2024,,
2018/12/3d-cities-story,,12/04/2018,population mountains,This is a story about how to perceive the population size of cities. Hint: perspective helps.,93,Population Mountains,This is a story about how to perceive the population size of cities.,20,68,matt,,,,"geography, population, world, map, mountain, 3d, population mountains, data mountains",,,,,,,maps,9/25/2024,,
2018/12/brief-history,,12/19/2018,headline history,"We created a brief history of the past 100 years from New York Times headlines. And yes, there are word clouds.",111,A Brief History of the Past 100 Years,An analysis of 12 decades of New York Times headlines,37,53,"ilia,jan",,,,"history, america, news, media, new york times, headline, language, united states, newspaper, word, nytimes",,,,,history in headlines,ilia,"history,media",9/25/2024,,
2018/12/countries,,12/19/2018,countries in news,"These are the countries that have most preoccupied Americans since 1900, according to New York Times headlines.",111,The World through the Eyes of the US,The countries that have preoccupied Americans since 1900,36,56,russell,,,,"history, america, news, media, new york times, headlines, world, countries, country, newspaper, nytimes, flags",,,,,countries in headlines,russell,"history,media",9/25/2024,,
projects/vocabulary,,01/16/2019,rapper vocabulary,Who’s the most prolific rapper of all time? We try to answer that by measure vocabulary. Happy debating.,104,"Rappers, Sorted by the Size of their Vocabulary","The number of unique lyrics used within artists’ first 35,000 lyrics",47,68,matt,,,,"hip hop, music, rap, vocabulary, lyric, artist, size",,,popular,,rapper vocabularies,popular,music-hiphop,9/25/2024,,
2019/02/dress-code-sexualization,,02/07/2019,school dress codes,School dress codes send the wrong messages about womens’ and girls’ bodies. An analysis of 481 policies shows why. ,115,The Sexualized Messages Dress Codes are Sending to Students,What we learned about sexualization from analyzing 481 high school dress codes,59,78,amber,,,,"gender, equality, explainer, fashion, dress code, school, sex, men, women, girl, boy",,,,,,,"gender,fashion",9/25/2024,TRUE,tweet embed
2019/02/gyllenhaal,,02/22/2019,celebrity spelling bee,Think Gyllenhaal is a hard name to spell? It gets worse. Here are the many ways to misspell big names in pop culture. ,118,The Gyllenhaal Experiment,The many ways to misspell the hardest names in pop culture.,25,59,"russell, matt",,,,"explainer, language, celebrity, celebrities, spell, quiz, name",,,your_input,,celebrity name spelling,"popular, matt","celebrities,quiz",9/25/2024,,
2019/03/hype,,03/04/2019,high school to the nba,Do high school basketball stars live up to the hype? Here’s how many find success in the NBA.,93,How Many High School Stars Make It in the NBA?,Every year the top high school basketball recruits get hyped up—do they pan out?,46,80,"amber, russell",,,,"basketball, sports, nba, high school, star",,,,,,,basketball-draft,9/25/2024,,
2019/03/pop-music,,03/12/2019,biggest pop star,How do you measure who’s the biggest pop star? We tackle that question a bunch of different ways.,97,Who is the Biggest Pop Star?,"Today, there’s no single way to measure popularity in music.",28,60,pudding,,,,"music, pop, celebrity, celebrities, fame",,,,,,,"music-pop,celebrities",9/25/2024,,
2019/03/nba-spelling,,03/20/2019,nba spelling bee,Can you spell the hardest names in the NBA? Or will you miss and spell H-O-R-S-E?,81,NBA Spelling Bee,Can you spell the hardest names in the NBA?,16,43,"russell, matt",,,,"explainer, basketball, sports, language, celebrity, celebrities, spell, quiz, name",,,your_input,,,,"basketball,celebrities,quiz",9/25/2024,,
projects/votes-for-women,,03/29/2019,women's politics,We looked at every political party platform between 1840 and 2016 to find how often women’s issues appeared in the text.,120,Women’s Issues Within Political Party Platforms,How often do women’s issues appear in party platform documents over time?,47,73,"russell, jan",,,,"america, gender, history, politics, women, united states, platform, democrat, republican, national portrait gallery, npg, language",,,video,,,,"gender,politics",9/25/2024,,
2019/04/text-prediction,,04/10/2019,text prediction,Computers now have four different methods to determine what you’ll type now/next/nexis,86,How Algorithms Know What You’ll Type Next,Exploring how text prediction really works,41,42,"wessel, antal",,,,"language, explainer, algorithms, tech, type, word, text, predictive text",,,,,,,language,9/25/2024,,
2019/04/eu-regions,,04/18/2019,eu regions and wealth,Why are European regions shifting their borders? We follow the money. ,70,"Why Budapest, Warsaw, and Lithuania split themselves in two",Explaining how the European Union calculates wealth distribution,59,64,maarten,,,,"politics, europe, map, countries, country, eu, european union, economy, economics, region, border, district, boundary, budapest, warsaw, lithuania",,,,,,,maps,9/25/2024,,
2019/04/vogue,,04/23/2019,colorism in fashion,We looked at 19 years of covers to see if Vogue represents women of all shades. You can guess how this went.,108,Colorism in High Fashion,We looked at 19 years of covers to see if Vogue represents women of all shades.,24,79,"malaika, amber, jan",,,,"diversity, equality, fashion, colorism, vogue, skin, color, cover, model, women, magazine, shade, tone, representation",,,,,,,"beauty,race",9/25/2024,,
